date,closing,adjusted,evolution,quantity,volume
29/06/2022,25400,25400,-037,84092,2144294665
28/06/2022,25495,25495,-002,85,214772
27/06/2022,25500,25500,000,170,433451
24/06/2022,25500,25500,241,30,7650
23/06/2022,24900,24900,-080,46948,117036882
22/06/2022,25100,25100,-079,70115,17658971
21/06/2022,25300,25300,-073,143464,3652480275
20/06/2022,25485,25485,073,527,13430595
17/06/2022,25300,25300,-078,59100,14953425
16/06/2022,25500,25500,079,23056,5882670
15/06/2022,25300,25300,000,99451,251623553
14/06/2022,25300,25300,-269,20636,52465055
13/06/2022,26000,26000,000,2217,5739167
10/06/2022,26000,26000,-076,15272,39590492
09/06/2022,26200,26200,000,19632,51376135
08/06/2022,26200,26200,155,20410,52951855
07/06/2022,25800,25800,-259,42275,1090647045
06/06/2022,26485,26485,266,1,26485
03/06/2022,25800,25800,118,328265,841681027
02/06/2022,25500,25500,123,9166,231617465
01/06/2022,25190,25190,282,28,70532
31/05/2022,24500,24500,-200,95306,234075632
30/05/2022,25000,25000,-036,15845,3961259
27/05/2022,25090,25090,-083,9340,23440714
26/05/2022,25300,25300,-078,40909,10382425
25/05/2022,25500,25500,077,4190,105583925
24/05/2022,25305,25305,-076,28606,7244695
23/05/2022,25500,25500,079,7110,18019065
20/05/2022,25300,25300,-156,32054,81207261
19/05/2022,25700,25700,000,9142,2347962
18/05/2022,25700,25700,158,16230,4170910
17/05/2022,25300,25300,000,0,0
16/05/2022,25300,25300,-190,5549,142261395
13/05/2022,25790,25790,114,1349,3479741
12/05/2022,25500,25500,000,4177,1066510
11/05/2022,25500,25500,000,17803,4539874
10/05/2022,25500,25500,-267,34610,887979335
09/05/2022,26200,26200,-132,14436,37829465
06/05/2022,26550,26550,-019,11855,31473277
05/05/2022,26600,26600,-037,13831,36790491
04/05/2022,26700,26700,000,0,0
29/04/2022,26700,26700,-037,22008,5876136
28/04/2022,26800,26800,037,53,14170
27/04/2022,26700,26700,075,1443,38455675
26/04/2022,26500,26500,-112,22500,5987267
25/04/2022,26800,26800,073,35104,9371823
22/04/2022,26605,26605,002,10799,28729169
21/04/2022,26600,26600,-075,28968,7705490
20/04/2022,26800,26800,073,9002,23945364
19/04/2022,26605,26605,-088,3143,83673925
18/04/2022,26840,26840,090,10,2684
15/04/2022,26600,26600,-093,8177,217602275
14/04/2022,26850,26850,090,44014,117141085
13/04/2022,26610,26610,-071,18619,49576575
12/04/2022,26800,26800,075,2080,55226925
11/04/2022,26600,26600,000,570,151620
08/04/2022,26600,26600,030,25778,6856978
07/04/2022,26520,26520,-178,42239,112304749
06/04/2022,27000,27000,169,110,293025
05/04/2022,26550,26550,038,42252,11208781
04/04/2022,26450,26450,-056,19305,51798315
01/04/2022,26600,26600,-037,1711,4555126
31/03/2022,26700,26700,079,1001,267265
30/03/2022,26490,26490,-041,3756,989556
29/03/2022,26600,26600,350,2406,62333495
28/03/2022,25700,25700,-115,918,236404
25/03/2022,26000,26000,156,6300,1638025
24/03/2022,25600,25600,-154,19086,4889160
23/03/2022,26000,26000,-192,86060,223778935
22/03/2022,26510,26510,-053,4175,1107286
21/03/2022,26650,26650,-093,4145,11169147
18/03/2022,26900,26900,037,36475,9806377
17/03/2022,26800,26800,098,28887,7744254
16/03/2022,26540,26540,015,47080,124916225
15/03/2022,26500,26500,-004,18206,482181935
14/03/2022,26510,26510,004,45,120704
11/03/2022,26500,26500,192,59239,15948002
10/03/2022,26000,26000,-222,5765,15072362
09/03/2022,26590,26590,188,8972,237464095
08/03/2022,26100,26100,038,76748,1998464215
07/03/2022,26000,26000,-370,21678,56438683
04/03/2022,27000,27000,-037,51273,1384381725
03/03/2022,27100,27100,-109,14983,40612705
02/03/2022,27400,27400,-036,5907,1617882
01/03/2022,27500,27500,000,20507,563913475
28/02/2022,27500,27500,000,83250,22893918
25/02/2022,27500,27500,166,29557,813333015
24/02/2022,27050,27050,-542,147858,407445517
23/02/2022,28600,28600,035,184857,5304886075
22/02/2022,28500,28500,-035,10912,31081915
21/02/2022,28600,28600,-069,24305,695162875
18/02/2022,28800,28800,000,43854,126288143
17/02/2022,28800,28800,000,7363,2120544
16/02/2022,28800,28800,-069,21620,622657525
15/02/2022,29000,29000,000,27610,8006020
14/02/2022,29000,29000,-154,28172,819242735
11/02/2022,29455,29455,-015,29238,86116534
10/02/2022,29500,29500,085,6595,1936621
09/02/2022,29250,29250,-051,35084,1026235635
08/02/2022,29400,29400,002,22674,662309335
07/02/2022,29395,29395,067,9680,28266806
04/02/2022,29200,29200,000,33842,9881864
03/02/2022,29200,29200,121,84258,2445161675
02/02/2022,28850,28850,087,109690,31583724
01/02/2022,28600,28600,-035,17383,4971544
31/01/2022,28700,28700,000,10,2870
28/01/2022,28700,28700,-003,34592,99195971
27/01/2022,28710,28710,002,3882,11154222
26/01/2022,28705,28705,-033,11282,3247998
25/01/2022,28800,28800,000,43314,1246231955
24/01/2022,28800,28800,000,19141,5503467
21/01/2022,28800,28800,-005,211219,6094607225
20/01/2022,28815,28815,005,26939,77624156
19/01/2022,28800,28800,-035,42741,123122602
18/01/2022,28900,28900,002,24630,71180718
17/01/2022,28895,28895,-036,99638,287498619
14/01/2022,29000,29000,105,160687,4620222395
13/01/2022,28700,28700,035,28314,8062371
12/01/2022,28600,28600,070,29202,83555982
10/01/2022,28400,28400,000,11061,31470755
07/01/2022,28400,28400,109,48424,137335577
06/01/2022,28095,28095,106,28080,78878117
05/01/2022,27800,27800,000,15676,4359714
04/01/2022,27800,27800,000,799,222047
03/01/2022,27800,27800,-105,19659,5465702
31/12/2021,28095,28095,018,40035,11247810
30/12/2021,28045,28045,016,22451,6293783
29/12/2021,28000,28000,000,16505,4616940
28/12/2021,28000,28000,002,25955,72336647
27/12/2021,27995,27995,052,8278,2305734
24/12/2021,27850,27850,-052,17726,4936686
23/12/2021,27995,27995,052,10979,305011275
22/12/2021,27850,27850,-052,10130,28204701
21/12/2021,27995,27995,105,7666,21341384
20/12/2021,27705,27705,-105,17239,47760788
17/12/2021,28000,28000,000,79165,22148281
16/12/2021,28000,28000,108,5921,16449024
15/12/2021,27700,27700,000,18634,5161618
14/12/2021,27700,27700,-107,216333,5997521375
13/12/2021,28000,28000,000,20983,5875554
10/12/2021,28000,28000,002,177595,497337178
09/12/2021,27995,27995,-002,50267,140413595
08/12/2021,28000,28000,000,51690,1446456515
07/12/2021,28000,28000,163,49659,137691071
06/12/2021,27550,27550,-056,3358,9259365
03/12/2021,27705,27705,-070,17402,48212432
02/12/2021,27900,27900,-036,29641,82112745
01/12/2021,28000,28000,145,17060,4731500
30/11/2021,27600,27600,-018,93264,257485645
29/11/2021,27650,27650,-025,4258,1174568
26/11/2021,27720,27720,-132,53349,1481891355
25/11/2021,28090,28090,000,3642,101784945
24/11/2021,28090,28090,050,59381,1660390965
23/11/2021,27950,27950,-018,27881,7792785
22/11/2021,28000,28000,036,27313,762066175
19/11/2021,27900,27900,000,60387,16848070
17/11/2021,27900,27900,036,71312,198980465
16/11/2021,27800,27800,000,43976,12225328
15/11/2021,27800,27800,000,33612,93441376
12/11/2021,27800,27800,-036,51799,144033935
11/11/2021,27900,27900,000,11977,33309189
10/11/2021,27900,27900,-036,65241,182419431
09/11/2021,28000,28000,000,38425,1076032425
08/11/2021,28000,28000,-071,360,1008226
05/11/2021,28200,28200,-018,25029,70531879
04/11/2021,28250,28250,-002,78289,2214654845
03/11/2021,28255,28255,011,67937,191900752
02/11/2021,28225,28225,062,179903,50775564
01/11/2021,28050,28050,-243,50651,14232620
29/10/2021,28750,28750,195,154508,44077398
28/10/2021,28200,28200,-035,87820,2468256615
27/10/2021,28300,28300,107,131858,371456452
26/10/2021,28000,28000,072,140632,3921410605
25/10/2021,27800,27800,104,112445,3113547775
22/10/2021,27515,27515,005,17559,482859155
21/10/2021,27500,27500,004,68163,187334838
18/10/2021,27490,27490,-004,10129,27671377
15/10/2021,27500,27500,036,36475,100081765
14/10/2021,27400,27400,037,23858,65307243
13/10/2021,27300,27300,000,26185,71485041
12/10/2021,27300,27300,035,2487,678942
11/10/2021,27205,27205,-104,9090,24725658
08/10/2021,27490,27490,138,11760,32302078
07/10/2021,27115,27115,-031,1909,51807105
06/10/2021,27200,27200,050,6539,17725349
05/10/2021,27065,27065,-156,5999,1627757
04/10/2021,27495,27495,-009,21196,57545616
01/10/2021,27520,27520,-029,27479,75154964
30/09/2021,27600,27600,036,24763,68229736
29/09/2021,27500,27500,-038,5127,14093205
28/09/2021,27605,27605,038,17676,48535355
27/09/2021,27500,27500,-036,51533,1416199365
24/09/2021,27600,27600,125,162109,4479112025
23/09/2021,27260,27260,059,37230,101336937
22/09/2021,27100,27100,000,52908,142864738
21/09/2021,27100,27100,035,19293,5208594
20/09/2021,27005,27005,-041,33670,909706775
17/09/2021,27115,27115,043,27216,73773249
16/09/2021,27000,27000,000,22217,5977664
15/09/2021,27000,27000,-002,32669,88191325
14/09/2021,27005,27005,-072,10311,2790179
13/09/2021,27200,27200,000,7029,189994855
10/09/2021,27200,27200,-109,13718,3732407
09/09/2021,27500,27500,129,228151,623093673
08/09/2021,27150,27150,018,17551,475452985
07/09/2021,27100,27100,030,30689,831093855
06/09/2021,27020,27020,-030,2119,5724081
03/09/2021,27100,27100,004,26533,718793465
02/09/2021,27090,27090,000,55744,150990426
01/09/2021,27090,27090,011,28095,760762175
31/08/2021,27060,27060,-018,69575,188446472
30/08/2021,27110,27110,-033,702,1901674
27/08/2021,27200,27200,000,25104,6810000
26/08/2021,27200,27200,037,13806,374329295
25/08/2021,27100,27100,037,4773,1288929
24/08/2021,27000,27000,-074,3667,990090
23/08/2021,27200,27200,-018,12638,342595665
19/08/2021,27250,27250,055,32390,8801811
18/08/2021,27100,27100,074,28203,760522415
17/08/2021,26900,26900,000,5800,155839715
16/08/2021,26900,26900,045,9891,26519153
13/08/2021,26780,26780,-007,20940,5605280
12/08/2021,26800,26800,-072,16890,4531370
11/08/2021,26995,26995,-002,38738,1045869825
09/08/2021,27000,27000,189,4565,1229655
06/08/2021,27300,27300,018,29638,80682802
05/08/2021,27250,27250,055,21270,577369485
04/08/2021,27100,27100,-033,24773,6685843
03/08/2021,27190,27190,015,12032,324028485
02/08/2021,27150,27150,056,36880,9959843
29/07/2021,27000,27000,077,253386,683652559
28/07/2021,26795,26795,073,838,224342
27/07/2021,26600,26600,028,58249,154905788
26/07/2021,26525,26525,-066,12650,33581045
23/07/2021,26700,26700,183,3713,98511525
20/07/2021,26220,26220,-093,19369,50884895
19/07/2021,26465,26465,-123,688,1820782
16/07/2021,26795,26795,180,14432,380800715
15/07/2021,26320,26320,-124,314,827024
14/07/2021,26650,26650,-019,11049,29440755
13/07/2021,26700,26700,087,105378,28021568
12/07/2021,26470,26470,008,4173,11053931
09/07/2021,26450,26450,000,25638,676827695
08/07/2021,26450,26450,000,964,254978
07/07/2021,26450,26450,000,5328,13988648
06/07/2021,26450,26450,-019,151,397901
05/07/2021,26500,26500,000,19167,50778766
02/07/2021,26500,26500,-034,18510,4905150
01/07/2021,26590,26590,-004,6348,16733555
30/06/2021,26600,26600,000,14028,3731371
29/06/2021,26600,26600,-037,3513,93304535
28/06/2021,26700,26700,075,722,191863
25/06/2021,26500,26500,-038,51358,136191033
24/06/2021,26600,26600,-037,12312,3286928
23/06/2021,26700,26700,000,0,0
22/06/2021,26700,26700,000,106474,284722882
21/06/2021,26700,26700,038,13153,35027487
18/06/2021,26600,26600,019,117009,31126152
17/06/2021,26550,26550,-019,7586,20162994
16/06/2021,26600,26600,000,13002,34635315
15/06/2021,26600,26600,-064,25919,692243955
14/06/2021,26770,26770,026,9654,25776488
11/06/2021,26700,26700,038,8363,222837395
10/06/2021,26600,26600,000,4153,110533705
09/06/2021,26600,26600,000,4876,129247785
08/06/2021,26600,26600,-037,5337,141377155
07/06/2021,26700,26700,-019,16949,453512875
04/06/2021,26750,26750,-019,22386,5983740
03/06/2021,26800,26800,000,480,1275525
02/06/2021,26800,26800,073,4248,11294002
01/06/2021,26605,26605,002,3559,9468181
31/05/2021,26600,26600,-093,35,9310
28/05/2021,26850,26850,094,6226,1669365
27/05/2021,26600,26600,-112,61565,16417400
26/05/2021,26900,26900,034,6042,16176738
25/05/2021,26810,26810,192,24082,644885885
24/05/2021,26305,26305,-111,1632,43037825
21/05/2021,26600,26600,076,2046,5440258
20/05/2021,26400,26400,-075,11682,308792075
19/05/2021,26600,26600,076,26666,71098002
18/05/2021,26400,26400,-146,2233,5901408
17/05/2021,26790,26790,098,40907,109072642
12/05/2021,26530,26530,107,54832,144904908
11/05/2021,26250,26250,-094,1242,3262955
10/05/2021,26500,26500,019,41570,1098471165
07/05/2021,26450,26450,057,152579,401288097
06/05/2021,26300,26300,013,31287,82562243
05/05/2021,26265,26265,025,38033,100774208
04/05/2021,26200,26200,096,197852,5160098725
03/05/2021,25950,25950,058,162953,422409886
30/04/2021,25800,25800,-035,13924,35915781
29/04/2021,25890,25890,035,20168,520350335
28/04/2021,25800,25800,-019,80575,2082252425
27/04/2021,25850,25850,019,23968,61914975
26/04/2021,25800,25800,000,152496,393424404
23/04/2021,25800,25800,064,19053,4907256
22/04/2021,25635,25635,008,21367,55110437
21/04/2021,25615,25615,-052,119207,30542696
20/04/2021,25750,25750,023,72297,186010639
19/04/2021,25690,25690,035,5084,13020186
16/04/2021,25600,25600,039,53764,137630321
15/04/2021,25500,25500,035,102740,2620494135
14/04/2021,25410,25410,043,16,40656
13/04/2021,25300,25300,060,19560,4948680
12/04/2021,25150,25150,-059,1000,251500
09/04/2021,25300,25300,114,105,26565
08/04/2021,25015,25015,000,50,125075
07/04/2021,25015,25015,000,0,0
06/04/2021,25015,25015,-036,8650,21663174
05/04/2021,25105,25105,-077,6740,16914219
02/04/2021,25300,25300,-076,9412,23794707
01/04/2021,25495,25495,077,90479,23056714
31/03/2021,25300,25300,080,81686,206109963
30/03/2021,25100,25100,050,4437,11114553
29/03/2021,24975,24975,-010,2980,74509575
26/03/2021,25000,25000,000,1616442,4033073018
25/03/2021,25000,25000,036,5577,1391286
24/03/2021,24910,24910,000,1561,3888451
23/03/2021,24910,24910,022,15041,377662015
22/03/2021,24855,24855,-215,6006,149167245
19/03/2021,25400,25400,059,53458,13385577
18/03/2021,25250,25250,-079,2956,74455855
17/03/2021,25450,25450,180,33486,848926365
16/03/2021,25000,25000,040,3328,82852935
15/03/2021,24900,24900,000,6074,15127115
12/03/2021,24900,24900,069,32238,8027262
11/03/2021,24730,24730,-048,5800,143538825
10/03/2021,24850,24850,000,4092,101624145
09/03/2021,24850,24850,-006,2297,5708639
08/03/2021,24865,24865,-054,5,124325
05/03/2021,25000,25000,-038,4358,10883858
04/03/2021,25095,25095,072,40,10038
03/03/2021,24915,24915,-089,6460,16137384
02/03/2021,25140,25140,135,250,6235885
01/03/2021,24805,24805,-078,1634,4053998
26/02/2021,25000,25000,-002,24825,62062502
25/02/2021,25005,25005,-038,12406,31016321
24/02/2021,25100,25100,000,12819,319821385
23/02/2021,25100,25100,-153,6064,15214713
22/02/2021,25490,25490,000,2997,76361895
19/02/2021,25490,25490,-004,66,1665115
18/02/2021,25500,25500,037,10205,25930598
17/02/2021,25405,25405,002,11147,283179485
16/02/2021,25400,25400,028,3138,79392075
15/02/2021,25330,25330,008,1009,2555793
12/02/2021,25310,25310,004,44908,1137943055
11/02/2021,25300,25300,-039,35122,88824537
10/02/2021,25400,25400,-029,2023,51034875
09/02/2021,25475,25475,-126,47686,1218750375
08/02/2021,25800,25800,068,54607,14086932
05/02/2021,25625,25625,045,37360,9568786
04/02/2021,25510,25510,-043,14747,37702107
03/02/2021,25620,25620,-035,6403,163916155
02/02/2021,25710,25710,000,10227,262791535
01/02/2021,25710,25710,-071,4903,12580696
29/01/2021,25895,25895,066,22796,58844428
28/01/2021,25725,25725,-016,1901,48893825
27/01/2021,25765,25765,-088,4248,109529765
26/01/2021,25995,25995,115,63578,16443493
25/01/2021,25700,25700,002,36162,928949175
22/01/2021,25695,25695,168,104328,2680270905
21/01/2021,25270,25270,-186,32151,82621831
20/01/2021,25750,25750,059,20723,53154441
19/01/2021,25600,25600,039,57168,1463556875
18/01/2021,25500,25500,059,7359,187421065
15/01/2021,25350,25350,140,76971,193497819
14/01/2021,25000,25000,244,13974,348593095
13/01/2021,24405,24405,-199,24,586215
12/01/2021,24900,24900,122,2012,49929965
08/01/2021,24600,24600,-040,3950,9716002
07/01/2021,24700,24700,123,13,3236
06/01/2021,24400,24400,-224,4820,117996775
05/01/2021,24960,24960,-115,820,2028529
04/01/2021,25250,25250,112,1,2525
31/12/2020,24970,24970,192,11781,293674775
30/12/2020,24500,24500,000,0,0
29/12/2020,24500,24500,-041,770,18914335
28/12/2020,24600,24600,-040,3748,92439275
25/12/2020,24700,24700,-120,37380,923533425
24/12/2020,25000,25000,-040,14645,366896325
23/12/2020,25100,25100,040,3211,81201815
22/12/2020,25000,25000,204,27848,698488995
21/12/2020,24500,24500,-377,33298,82070963
18/12/2020,25460,25460,-170,48944,125764078
17/12/2020,25900,25900,078,92725,2396506215
16/12/2020,25700,25700,239,154680,3945594705
15/12/2020,25100,25100,060,16748,4176837
14/12/2020,24950,24950,-020,1581,3939025
11/12/2020,25000,25000,121,104980,2619839235
10/12/2020,24700,24700,080,2706,6683814
09/12/2020,24505,24505,-077,5223,128000925
08/12/2020,24695,24695,080,9315,228953335
07/12/2020,24500,24500,000,7672,187801985
04/12/2020,24500,24500,020,8849,2171107
03/12/2020,24450,24450,-022,3004,735401
02/12/2020,24505,24505,002,15919,390773405
01/12/2020,24500,24500,000,1043,25290435
30/11/2020,24500,24500,078,32339,792735015
27/11/2020,24310,24310,-118,23695,57756081
26/11/2020,24600,24600,-032,6382,15677813
25/11/2020,24680,24680,073,47409,116900548
24/11/2020,24500,24500,074,28338,695980105
23/11/2020,24320,24320,-134,1209,2942688
20/11/2020,24650,24650,102,66868,164126029
19/11/2020,24400,24400,041,18520,45183066
17/11/2020,24300,24300,023,33269,8082017
16/11/2020,24245,24245,000,12817,31064292
13/11/2020,24245,24245,-055,21713,5254661
12/11/2020,24380,24380,095,6763,16306671
11/11/2020,24150,24150,-102,14109,341811415
10/11/2020,24400,24400,087,75569,1847759845
09/11/2020,24190,24190,164,83680,202046739
05/11/2020,23800,23800,042,5,1190
04/11/2020,23700,23700,011,7123,16869184
03/11/2020,23675,23675,002,6826,161570825
02/11/2020,23670,23670,-138,754,1786101
28/10/2020,24000,24000,000,9592,230159365
27/10/2020,24000,24000,-002,27214,654087235
26/10/2020,24005,24005,-037,24801,59531539
23/10/2020,24095,24095,122,178415,428660721
22/10/2020,23805,23805,123,20123,47889593
21/10/2020,23515,23515,110,3914,92053025
20/10/2020,24060,24060,109,103415,2497471235
19/10/2020,23800,23800,042,321,7641585
16/10/2020,23700,23700,-133,94332,224657783
15/10/2020,24020,24020,-113,6535,15695163
14/10/2020,24295,24295,292,42052,1017820425
13/10/2020,23605,23605,045,26990,639343625
12/10/2020,23500,23500,000,1327,311735
09/10/2020,23500,23500,000,28725,67298246
08/10/2020,23500,23500,082,76574,1798919315
07/10/2020,23310,23310,087,21899,5102743
06/10/2020,23110,23110,002,159,367449
05/10/2020,23105,23105,-084,28536,6649017
02/10/2020,23300,23300,043,250,58250
01/10/2020,23200,23200,041,20532,476246305
30/09/2020,23105,23105,-126,1806,41783705
29/09/2020,23400,23400,086,9280,21632919
28/09/2020,23200,23200,-002,11,2552
25/09/2020,23205,23205,000,10505,243850905
24/09/2020,23205,23205,043,23552,54782881
23/09/2020,23105,23105,002,3896,9047935
22/09/2020,23100,23100,037,1482,3415287
21/09/2020,23015,23015,-015,780,17956025
18/09/2020,23050,23050,-022,18739,431170485
17/09/2020,23100,23100,-128,69043,159524916
16/09/2020,23400,23400,058,5077,11875055
15/09/2020,23265,23265,-017,7439,173134575
14/09/2020,23305,23305,-087,8975,209137245
11/09/2020,23510,23510,-038,13899,327359815
10/09/2020,23600,23600,000,70714,167014418
09/09/2020,23600,23600,129,4141,97650305
08/09/2020,23300,23300,022,19076,443695425
07/09/2020,23250,23250,000,0,0
04/09/2020,23250,23250,-148,5576,12966685
03/09/2020,23600,23600,047,50,11800
02/09/2020,23490,23490,011,36270,85007869
01/09/2020,23465,23465,399,66545,1556130125
31/08/2020,22565,22565,029,12665,285508345
28/08/2020,22500,22500,-175,11317,254681195
27/08/2020,22900,22900,178,9839,221426025
26/08/2020,22500,22500,-153,40,9000
25/08/2020,22850,22850,-041,9790,2236965
24/08/2020,22945,22945,-131,38180,878313435
19/08/2020,23250,23250,000,51520,119553885
18/08/2020,23250,23250,-102,28121,65380814
17/08/2020,23490,23490,082,4724,110764855
13/08/2020,23300,23300,175,22261,51228531
12/08/2020,22900,22900,037,30721,703453175
11/08/2020,22815,22815,051,7009,15984816
10/08/2020,22700,22700,-044,108,246147
07/08/2020,22800,22800,075,11065,25255725
06/08/2020,22630,22630,013,87,196773
05/08/2020,22600,22600,-079,3264,737656
04/08/2020,22780,22780,-052,537,1219836
03/08/2020,22900,22900,-035,150,343973
29/07/2020,22980,22980,123,26409,596959105
28/07/2020,22700,22700,179,8682,19578106
27/07/2020,22300,22300,000,10453,2336485
24/07/2020,22300,22300,000,45203,100824677
23/07/2020,22300,22300,000,11690,26169706
22/07/2020,22300,22300,000,22362,4985358
21/07/2020,22300,22300,000,17568,3917799
20/07/2020,22300,22300,043,802,178787
17/07/2020,22205,22205,023,8912,197298905
16/07/2020,22155,22155,025,39809,88042032
15/07/2020,22100,22100,045,27544,60799877
14/07/2020,22000,22000,000,3156,6923715
13/07/2020,22000,22000,-068,5360,118706155
10/07/2020,22150,22150,-098,5273,11679695
09/07/2020,22370,22370,077,11913,263912195
08/07/2020,22200,22200,045,10,2220
07/07/2020,22100,22100,050,6885,1521037
06/07/2020,21990,21990,-135,12057,26525033
03/07/2020,22290,22290,-004,3671,81624435
02/07/2020,22300,22300,-031,762,1705817
01/07/2020,22370,22370,177,25712,56566432
30/06/2020,21980,21980,059,41563,91368476
29/06/2020,21850,21850,023,2490,5455537
26/06/2020,21800,21800,-091,61551,134776017
25/06/2020,22000,22000,-045,4929,10870724
24/06/2020,22100,22100,-094,9105,201280395
23/06/2020,22310,22310,-040,3025,6722255
22/06/2020,22400,22400,045,570,1278827
19/06/2020,22300,22300,018,85552,190144411
18/06/2020,22260,22260,-183,195362,4557596425
17/06/2020,22675,22675,399,6783,153804525
16/06/2020,21805,21805,-039,4656,10194649
15/06/2020,21890,21890,088,1668,36534045
12/06/2020,21700,21700,-132,39151,8494542
11/06/2020,21990,21990,181,3440,7534173
10/06/2020,21600,21600,-226,289239,622211022
09/06/2020,22100,22100,-112,37873,8374108
08/06/2020,22350,22350,159,3689,8225432
05/06/2020,22000,22000,-045,16075,35566581
04/06/2020,22100,22100,128,54682,1210918525
03/06/2020,21820,21820,149,38901,848619925
02/06/2020,21500,21500,047,36635,78903535
01/06/2020,21400,21400,000,12000,25580007
